player_id,last_date,pay_cnt,pay_mnt
503,20161002,1,1
504,20161001,1,6
505,20161002,1,6
506,20161002,1,6
507,20161002,4,60
508,20160929,1,6
509,20161002,1,648
510,20161002,4,400
511,20161002,1,1
512,20161002,4,36
513,20161002,1,1
514,20161002,1,6
515,20161002,2,12
516,20161002,2,7
517,20161002,1,1
518,20161002,2,24
519,20161002,1,6
520,20161002,1,198
521,20160929,2,2
522,20161002,1,6
523,20161002,1,1
524,20161002,2,7
525,20161001,4,649
526,20161002,1,1
527,20161002,2,19
528,20161002,2,2
529,20161002,2,31
530,20161002,1,1
531,20161001,1,1
532,20161002,2,7
533,20161001,2,2
534,20161002,2,55
535,20161002,1,1
536,20161002,3,32
537,20161002,1,1
538,20160930,1,6
539,20161002,1,1
540,20161002,1,25
541,20161002,1,1
542,20161002,2,2
543,20160929,2,7
544,20161002,1,6
545,20161002,1,1
546,20161002,1,6
547,20160926,2,7
548,20161002,1,1
549,20161002,2,7
550,20160928,1,1
551,20160928,3,25
552,20161002,1,1
553,20160926,2,7
554,20161002,2,7
555,20161002,2,7
556,20161002,2,7
557,20161001,1,1
558,20161002,3,32
559,20161002,1,30
560,20161002,1,25
561,20160927,2,7
562,20161002,1,6
563,20160926,2,7
564,20161002,1,1
565,20161001,1,1
566,20160927,1,6
567,20160930,2,7
568,20161002,2,7
569,20161001,4,57
570,20160927,1,1
571,20161002,1,6
572,20160928,1,1
573,20160928,1,6
574,20161002,11,227
575,20161001,1,6
576,20161002,5,51
577,20160929,1,6
578,20160928,1,18
579,20161002,2,2
580,20160929,1,6
581,20161002,1,6
582,20161002,1,1
583,20161002,1,6
584,20161002,2,2
585,20160928,1,6
586,20160928,1,1
587,20160930,1,1
588,20160930,6,154
589,20161001,1,6
590,20161002,1,6
591,20160929,1,1
592,20160927,1,6
593,20160930,2,7
594,20161001,1,6
595,20161002,3,13
596,20160928,2,7
597,20161002,1,6
598,20161002,1,6
599,20160928,5,51
600,20161002,1,1
601,20161002,1,1
602,20161002,2,7
603,20161002,1,6
604,20161002,1,6
605,20160930,1,1
606,20161002,3,27
607,20160928,1,1
608,20161002,1,1
609,20161002,1,6
610,20160930,2,31
611,20161002,4,31
612,20160929,2,7
613,20161002,2,7
614,20160929,1,1
615,20161002,3,13
616,20160930,2,24
617,20161002,3,13
618,20161001,2,7
619,20160929,2,7
620,20161002,3,56
621,20161002,2,7
622,20161002,2,7
623,20161002,2,2
624,20161002,2,26
625,20160930,1,1
626,20160929,1,1
627,20161002,1,6
628,20161002,1,6
629,20160930,1,6
630,20161001,1,1
631,20161002,3,8
632,20160930,1,1
633,20161002,4,43
634,20161002,2,26
635,20161002,2,7
636,20161002,1,1
637,20161002,1,1
638,20161002,1,1
639,20161002,1,1
640,20160930,1,1
641,20161002,2,31
642,20161002,1,6
643,20161002,3,8
644,20161001,1,1
645,20161002,2,7
646,20161002,1,1
647,20161002,1,1
648,20160930,1,1
649,20161002,6,57
650,20161001,1,6
651,20161002,1,6
652,20161002,1,1
653,20161002,1,6
654,20161001,2,7
